Original Filename	Sample Name	Component Name	Mass Info	Area	Modified
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 394)	A. std 1mm glu 100uM PEP (cit)	124/ 80 M-1 taurine	124.0 / 80.0	12923.2	False
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 394)	A. std 1mm glu 100uM PEP (cit)	128/ 80 M-1 d4 taurine	128.0 / 80.0	315.2	False
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 394)	A. std 1mm glu 100uM PEP (cit)	Citrate 191/111	191.0 / 111.0	274145.2	False
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 394)	A. std 1mm glu 100uM PEP (cit)	Citrate 192/111	192.0 / 111.0	4765.24742233789	True
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 394)	A. std 1mm glu 100uM PEP (cit)	Citrate 192/112	192.0 / 112.0	14184	False
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 394)	A. std 1mm glu 100uM PEP (cit)	Citrate 193/112	193.0 / 112.0	N/A	True
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 394)	A. std 1mm glu 100uM PEP (cit)	Citrate 193/113	193.0 / 113.0	5200.8	True
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 394)	A. std 1mm glu 100uM PEP (cit)	Citrate 194/113	194.0 / 113.0	N/A	True
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 394)	A. std 1mm glu 100uM PEP (cit)	Citrate 194/114	194.0 / 114.0	N/A	True
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 394)	A. std 1mm glu 100uM PEP (cit)	Citrate 195/114	195.0 / 114.0	N/A	True
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 394)	A. std 1mm glu 100uM PEP (cit)	Citrate 195/115	195.0 / 115.0	1576	False
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 394)	A. std 1mm glu 100uM PEP (cit)	Citrate 196/115	196.0 / 115.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 394)	A. std 1mm glu 100uM PEP (cit)	Citrate 196/116	196.0 / 116.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 394)	A. std 1mm glu 100uM PEP (cit)	Citrate 197/116	197.0 / 116.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 394)	A. std 1mm glu 100uM PEP (cit)	Citrate 191/67	191.0 / 67.0	17714.24	False
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 394)	A. std 1mm glu 100uM PEP (cit)	Citrate 192/67	192.0 / 67.0	504.319999999998	False
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 394)	A. std 1mm glu 100uM PEP (cit)	Citrate 192/68	192.0 / 68.0	680.740355029587	True
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 394)	A. std 1mm glu 100uM PEP (cit)	Citrate 193/67	193.0 / 67.0	N/A	True
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 394)	A. std 1mm glu 100uM PEP (cit)	Citrate 193/68	193.0 / 68.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 394)	A. std 1mm glu 100uM PEP (cit)	Citrate 193/69	193.0 / 69.0	N/A	True
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 394)	A. std 1mm glu 100uM PEP (cit)	Citrate 194/68	194.0 / 68.0	N/A	True
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 394)	A. std 1mm glu 100uM PEP (cit)	Citrate 194/69	194.0 / 69.0	N/A	True
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 394)	A. std 1mm glu 100uM PEP (cit)	Citrate 194/70	194.0 / 70.0	N/A	True
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 394)	A. std 1mm glu 100uM PEP (cit)	Citrate 195/69	195.0 / 69.0	N/A	True
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 394)	A. std 1mm glu 100uM PEP (cit)	Citrate 195/70	195.0 / 70.0	N/A	True
