Original Filename	Sample Name	Component Name	Mass Info	Area
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 191)	A. std 1mm glu 100uM PEP	taurine	124.0 / 80.0	120.0625
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 191)	A. std 1mm glu 100uM PEP	D4-taurine	128.0 / 80.0	137321.35
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 191)	A. std 1mm glu 100uM PEP	Pyruvate 87/87	87.0 / 87.0	756348.872336289
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 191)	A. std 1mm glu 100uM PEP	Pyruvate 88/88	88.0 / 88.0	20088.0375
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 191)	A. std 1mm glu 100uM PEP	Pyruvate 89/89	89.0 / 89.0	8295.16114954859
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 191)	A. std 1mm glu 100uM PEP	Pyruvate 90/90	90.0 / 90.0	N/A
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 191)	A. std 1mm glu 100uM PEP	Lactate 89/89	89.0 / 89.0	5955.6625
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 191)	A. std 1mm glu 100uM PEP	Lactate 90/90	90.0 / 90.0	675.0375
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 191)	A. std 1mm glu 100uM PEP	Lactate 91/91	91.0 / 91.0	1072.575
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 191)	A. std 1mm glu 100uM PEP	Lactate 92/92	92.0 / 92.0	270.075
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 192)	B. std 500uM glu 50uM PEP	taurine	124.0 / 80.0	150
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 192)	B. std 500uM glu 50uM PEP	D4-taurine	128.0 / 80.0	203174.7125
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 192)	B. std 500uM glu 50uM PEP	Pyruvate 87/87	87.0 / 87.0	323198.99380013
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 192)	B. std 500uM glu 50uM PEP	Pyruvate 88/88	88.0 / 88.0	10307.0736242056
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 192)	B. std 500uM glu 50uM PEP	Pyruvate 89/89	89.0 / 89.0	2010.3125
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 192)	B. std 500uM glu 50uM PEP	Pyruvate 90/90	90.0 / 90.0	N/A
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 192)	B. std 500uM glu 50uM PEP	Lactate 89/89	89.0 / 89.0	35255.7875
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 192)	B. std 500uM glu 50uM PEP	Lactate 90/90	90.0 / 90.0	1680.3375
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 192)	B. std 500uM glu 50uM PEP	Lactate 91/91	91.0 / 91.0	824.999999999999
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 192)	B. std 500uM glu 50uM PEP	Lactate 92/92	92.0 / 92.0	330.0375
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 193)	C. std 250uM glu 25uM PEP	taurine	124.0 / 80.0	105.025
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 193)	C. std 250uM glu 25uM PEP	D4-taurine	128.0 / 80.0	200561.7625
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 193)	C. std 250uM glu 25uM PEP	Pyruvate 87/87	87.0 / 87.0	193146.226395453
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 193)	C. std 250uM glu 25uM PEP	Pyruvate 88/88	88.0 / 88.0	6812.91024708964
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 193)	C. std 250uM glu 25uM PEP	Pyruvate 89/89	89.0 / 89.0	N/A
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 193)	C. std 250uM glu 25uM PEP	Pyruvate 90/90	90.0 / 90.0	N/A
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 193)	C. std 250uM glu 25uM PEP	Lactate 89/89	89.0 / 89.0	6930.4875
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 193)	C. std 250uM glu 25uM PEP	Lactate 90/90	90.0 / 90.0	344.999999999999
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 193)	C. std 250uM glu 25uM PEP	Lactate 91/91	91.0 / 91.0	1102.5
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 193)	C. std 250uM glu 25uM PEP	Lactate 92/92	92.0 / 92.0	307.55
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 194)	D. std 125uM glu 12.5uM PEP	taurine	124.0 / 80.0	150.0125
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 194)	D. std 125uM glu 12.5uM PEP	D4-taurine	128.0 / 80.0	192023.5
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 194)	D. std 125uM glu 12.5uM PEP	Pyruvate 87/87	87.0 / 87.0	128010.546047357
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 194)	D. std 125uM glu 12.5uM PEP	Pyruvate 88/88	88.0 / 88.0	N/A
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 194)	D. std 125uM glu 12.5uM PEP	Pyruvate 89/89	89.0 / 89.0	N/A
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 194)	D. std 125uM glu 12.5uM PEP	Pyruvate 90/90	90.0 / 90.0	N/A
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 194)	D. std 125uM glu 12.5uM PEP	Lactate 89/89	89.0 / 89.0	12902.3
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 194)	D. std 125uM glu 12.5uM PEP	Lactate 90/90	90.0 / 90.0	517.6375
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 194)	D. std 125uM glu 12.5uM PEP	Lactate 91/91	91.0 / 91.0	907.500000000001
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 194)	D. std 125uM glu 12.5uM PEP	Lactate 92/92	92.0 / 92.0	435.0375
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 195)	E. std 62.5uM glu 6.25uM PEP	taurine	124.0 / 80.0	60.0250000000001
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 195)	E. std 62.5uM glu 6.25uM PEP	D4-taurine	128.0 / 80.0	192270.1
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 195)	E. std 62.5uM glu 6.25uM PEP	Pyruvate 87/87	87.0 / 87.0	73244.036143333
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 195)	E. std 62.5uM glu 6.25uM PEP	Pyruvate 88/88	88.0 / 88.0	N/A
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 195)	E. std 62.5uM glu 6.25uM PEP	Pyruvate 89/89	89.0 / 89.0	N/A
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 195)	E. std 62.5uM glu 6.25uM PEP	Pyruvate 90/90	90.0 / 90.0	N/A
