,NA corrected,Label,Sample Name,formula,name
0,16423.9655333,C13_92.0_92.0,T. [13C-glc] G7 30min,C3H5O3,Lactate 92/92
1,15610.6887858,C13_92.0_92.0,T. [13C-glc] G7 30min,C3H5O3,Lactate 92/92
2,11738.1000333,C13_92.0_92.0,T. [13C-glc] G7 30min,C3H5O3,Lactate 92/92
3,15601.9063933,C13_92.0_92.0,T. [13C-glc] G7 30min,C3H5O3,Lactate 92/92
4,17627.4938933,C13_92.0_92.0,T. [13C-glc] G7 30min,C3H5O3,Lactate 92/92
5,17769.7688933,C13_92.0_92.0,T. [13C-glc] G7 30min,C3H5O3,Lactate 92/92
6,0.0,C13_92.0_92.0,Q. [13C-glc] G7 0min,C3H5O3,Lactate 92/92
7,0.0,C13_92.0_92.0,Q. [13C-glc] G7 0min,C3H5O3,Lactate 92/92
8,0.0,C13_92.0_92.0,Q. [13C-glc] G7 0min,C3H5O3,Lactate 92/92
9,0.0,C13_92.0_92.0,Q. [13C-glc] G7 0min,C3H5O3,Lactate 92/92
10,0.0,C13_92.0_92.0,Q. [13C-glc] G7 0min,C3H5O3,Lactate 92/92
11,0.0,C13_92.0_92.0,Q. [13C-glc] G7 0min,C3H5O3,Lactate 92/92
0,0.0,C13_91.0_91.0,T. [13C-glc] G7 30min,C3H5O3,Lactate 91/91
1,917.682079544,C13_91.0_91.0,T. [13C-glc] G7 30min,C3H5O3,Lactate 91/91
2,14.6282568102,C13_91.0_91.0,T. [13C-glc] G7 30min,C3H5O3,Lactate 91/91
3,0.0,C13_91.0_91.0,T. [13C-glc] G7 30min,C3H5O3,Lactate 91/91
4,14.6282568102,C13_91.0_91.0,T. [13C-glc] G7 30min,C3H5O3,Lactate 91/91
5,0.477447879875,C13_91.0_91.0,T. [13C-glc] G7 30min,C3H5O3,Lactate 91/91
6,0.0,C13_91.0_91.0,Q. [13C-glc] G7 0min,C3H5O3,Lactate 91/91
7,4.66188677588,C13_91.0_91.0,Q. [13C-glc] G7 0min,C3H5O3,Lactate 91/91
8,0.0,C13_91.0_91.0,Q. [13C-glc] G7 0min,C3H5O3,Lactate 91/91
9,7.63271177588,C13_91.0_91.0,Q. [13C-glc] G7 0min,C3H5O3,Lactate 91/91
10,14.6282568102,C13_91.0_91.0,Q. [13C-glc] G7 0min,C3H5O3,Lactate 91/91
11,0.0,C13_91.0_91.0,Q. [13C-glc] G7 0min,C3H5O3,Lactate 91/91
0,1138.77050554,C13_90.0_90.0,T. [13C-glc] G7 30min,C3H5O3,Lactate 90/90
1,673.212990506,C13_90.0_90.0,T. [13C-glc] G7 30min,C3H5O3,Lactate 90/90
2,0.0,C13_90.0_90.0,T. [13C-glc] G7 30min,C3H5O3,Lactate 90/90
3,930.82002951,C13_90.0_90.0,T. [13C-glc] G7 30min,C3H5O3,Lactate 90/90
4,0.0,C13_90.0_90.0,T. [13C-glc] G7 30min,C3H5O3,Lactate 90/90
5,657.36939667,C13_90.0_90.0,T. [13C-glc] G7 30min,C3H5O3,Lactate 90/90
6,1030.38481477,C13_90.0_90.0,Q. [13C-glc] G7 0min,C3H5O3,Lactate 90/90
7,462.983189774,C13_90.0_90.0,Q. [13C-glc] G7 0min,C3H5O3,Lactate 90/90
8,1579.02045329,C13_90.0_90.0,Q. [13C-glc] G7 0min,C3H5O3,Lactate 90/90
9,324.974864774,C13_90.0_90.0,Q. [13C-glc] G7 0min,C3H5O3,Lactate 90/90
10,0.0,C13_90.0_90.0,Q. [13C-glc] G7 0min,C3H5O3,Lactate 90/90
11,1080.07220024,C13_90.0_90.0,Q. [13C-glc] G7 0min,C3H5O3,Lactate 90/90
0,74093.0094968,C13_147.0_129.0,T. [13C-glc] G7 30min,C5H6NO3,Glutamate 147/129
1,232646.168023,C13_147.0_129.0,T. [13C-glc] G7 30min,C5H6NO3,Glutamate 147/129
2,120071.517001,C13_147.0_129.0,T. [13C-glc] G7 30min,C5H6NO3,Glutamate 147/129
3,180511.261423,C13_147.0_129.0,T. [13C-glc] G7 30min,C5H6NO3,Glutamate 147/129
4,166034.878675,C13_147.0_129.0,T. [13C-glc] G7 30min,C5H6NO3,Glutamate 147/129
5,210803.286301,C13_147.0_129.0,T. [13C-glc] G7 30min,C5H6NO3,Glutamate 147/129
6,73294.1751488,C13_147.0_129.0,Q. [13C-glc] G7 0min,C5H6NO3,Glutamate 147/129
7,249669.544849,C13_147.0_129.0,Q. [13C-glc] G7 0min,C5H6NO3,Glutamate 147/129
8,168310.669219,C13_147.0_129.0,Q. [13C-glc] G7 0min,C5H6NO3,Glutamate 147/129
9,214959.833971,C13_147.0_129.0,Q. [13C-glc] G7 0min,C5H6NO3,Glutamate 147/129
10,218040.816301,C13_147.0_129.0,Q. [13C-glc] G7 0min,C5H6NO3,Glutamate 147/129
11,241761.288697,C13_147.0_129.0,Q. [13C-glc] G7 0min,C5H6NO3,Glutamate 147/129
0,19042.4767178,C13_151.0_133.0,T. [13C-glc] G7 30min,C5H6NO3,Glutamate 151/133
1,32656.7781438,C13_151.0_133.0,T. [13C-glc] G7 30min,C5H6NO3,Glutamate 151/133
2,22681.8618623,C13_151.0_133.0,T. [13C-glc] G7 30min,C5H6NO3,Glutamate 151/133
3,32250.5658178,C13_151.0_133.0,T. [13C-glc] G7 30min,C5H6NO3,Glutamate 151/133
4,34407.8363428,C13_151.0_133.0,T. [13C-glc] G7 30min,C5H6NO3,Glutamate 151/133
