Original Filename	Sample Name	Glucose Concentration	Time	Component Name	Mass Info	Area	Modified
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 68)"	A. [13C-glc] G2.5 0min	G2.5	0min	taurine	124.0 / 80.0	421872.286	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 68)"	A. [13C-glc] G2.5 0min	G2.5	0min	D4-taurine	128.0 / 80.0	387.0255	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 68)"	A. [13C-glc] G2.5 0min	G2.5	0min	PEP 167/79	167.0 / 79.0	40180.4085	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 68)"	A. [13C-glc] G2.5 0min	G2.5	0min	PEP 168/79	168.0 / 79.0	6161.8335	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 68)"	A. [13C-glc] G2.5 0min	G2.5	0min	PEP 169/79	169.0 / 79.0	514.1085	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 68)"	A. [13C-glc] G2.5 0min	G2.5	0min	PEP 170/79	170.0 / 79.0	N/A	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 68)"	A. [13C-glc] G2.5 0min	G2.5	0min	Aspartate 132/88	132.0 / 88.0	75872.859	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 68)"	A. [13C-glc] G2.5 0min	G2.5	0min	Aspartate 133/88	133.0 / 88.0	1669.642	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 68)"	A. [13C-glc] G2.5 0min	G2.5	0min	Aspartate 133/89	133.0 / 89.0	10910.6495	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 68)"	A. [13C-glc] G2.5 0min	G2.5	0min	Aspartate 134/90	134.0 / 90.0	1796.558	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 68)"	A. [13C-glc] G2.5 0min	G2.5	0min	Aspartate 134/89	134.0 / 89.0	N/A	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 68)"	A. [13C-glc] G2.5 0min	G2.5	0min	Aspartate 135/91	135.0 / 91.0	N/A	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 68)"	A. [13C-glc] G2.5 0min	G2.5	0min	Aspartate 135/90	135.0 / 90.0	N/A	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 68)"	A. [13C-glc] G2.5 0min	G2.5	0min	Aspartate 136/91	136.0 / 91.0	N/A	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 68)"	A. [13C-glc] G2.5 0min	G2.5	0min	3PG 185/79	185.0 / 79.0	1542.359	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 68)"	A. [13C-glc] G2.5 0min	G2.5	0min	3PG 186/79	186.0 / 79.0	N/A	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 68)"	A. [13C-glc] G2.5 0min	G2.5	0min	3PG 187/79	187.0 / 79.0	N/A	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 68)"	A. [13C-glc] G2.5 0min	G2.5	0min	3PG 188/79	188.0 / 79.0	N/A	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 68)"	A. [13C-glc] G2.5 0min	G2.5	0min	2PG 185/79	185.0 / 79.0	5520.642	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 68)"	A. [13C-glc] G2.5 0min	G2.5	0min	2PG 186/79	186.0 / 79.0	1284.4085	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 68)"	A. [13C-glc] G2.5 0min	G2.5	0min	2PG 187/79	187.0 / 79.0	N/A	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 68)"	A. [13C-glc] G2.5 0min	G2.5	0min	2PG 188/79	188.0 / 79.0	258.0505	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 68)"	A. [13C-glc] G2.5 0min	G2.5	0min	Malate 133/115	133.0 / 115.0	243008.9665	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 68)"	A. [13C-glc] G2.5 0min	G2.5	0min	Malate 134/116	134.0 / 116.0	18100.5335	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 68)"	A. [13C-glc] G2.5 0min	G2.5	0min	Malate 135/117	135.0 / 117.0	3724.0505	FALSE
