Original Filename	Sample Name	Glucose Concentrations	Time	Component Name	Mass Info	Area	Modified
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 140)	A. [13C-glc] G9 0min	G9	0min	taurine	124.0 / 80.0	706142.466	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 140)	A. [13C-glc] G9 0min	G9	0min	D4-taurine	128.0 / 80.0	5431.963	TRUE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 140)	A. [13C-glc] G9 0min	G9	0min	PEP 167/79	167.0 / 79.0	158798.0005	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 140)	A. [13C-glc] G9 0min	G9	0min	PEP 168/79	168.0 / 79.0	12067.642	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 140)	A. [13C-glc] G9 0min	G9	0min	PEP 169/79	169.0 / 79.0	5008.5255	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 140)	A. [13C-glc] G9 0min	G9	0min	PEP 170/79	170.0 / 79.0	N/A	TRUE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 140)	A. [13C-glc] G9 0min	G9	0min	Aspartate 132/88	132.0 / 88.0	35689.9835	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 140)	A. [13C-glc] G9 0min	G9	0min	Aspartate 133/88	133.0 / 88.0	2053.4776	TRUE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 140)	A. [13C-glc] G9 0min	G9	0min	Aspartate 133/89	133.0 / 89.0	2566.858	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 140)	A. [13C-glc] G9 0min	G9	0min	Aspartate 134/90	134.0 / 90.0	1024.4325	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 140)	A. [13C-glc] G9 0min	G9	0min	Aspartate 134/89	134.0 / 89.0	N/A	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 140)	A. [13C-glc] G9 0min	G9	0min	Aspartate 135/91	135.0 / 91.0	244.2171911	TRUE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 140)	A. [13C-glc] G9 0min	G9	0min	Aspartate 135/90	135.0 / 90.0	N/A	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 140)	A. [13C-glc] G9 0min	G9	0min	Aspartate 136/91	136.0 / 91.0	N/A	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 140)	A. [13C-glc] G9 0min	G9	0min	3PG 185/79	185.0 / 79.0	3338.917	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 140)	A. [13C-glc] G9 0min	G9	0min	3PG 186/79	186.0 / 79.0	N/A	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 140)	A. [13C-glc] G9 0min	G9	0min	3PG 187/79	187.0 / 79.0	N/A	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 140)	A. [13C-glc] G9 0min	G9	0min	3PG 188/79	188.0 / 79.0	N/A	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 140)	A. [13C-glc] G9 0min	G9	0min	2PG 185/79	185.0 / 79.0	15791.759	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 140)	A. [13C-glc] G9 0min	G9	0min	2PG 186/79	186.0 / 79.0	1669.5085	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 140)	A. [13C-glc] G9 0min	G9	0min	2PG 187/79	187.0 / 79.0	N/A	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 140)	A. [13C-glc] G9 0min	G9	0min	2PG 188/79	188.0 / 79.0	258.017	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 140)	A. [13C-glc] G9 0min	G9	0min	Malate 133/115	133.0 / 115.0	360993.5005	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 140)	A. [13C-glc] G9 0min	G9	0min	Malate 134/116	134.0 / 116.0	25674.2915	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 140)	A. [13C-glc] G9 0min	G9	0min	Malate 135/117	135.0 / 117.0	4752.5675	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 140)	A. [13C-glc] G9 0min	G9	0min	Malate 136/118	136.0 / 118.0	N/A	TRUE
