Original Filename	Sample Name	Glucose Concentration	Time	Component Name	Mass Info	Area	Modified
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 314)	A. [13C-glc] G9 0min cit	G9	0min	124/ 80 M-1 taurine	124.0 / 80.0	2182718.282	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 314)	A. [13C-glc] G9 0min cit	G9	0min	128/ 80 M-1 d4 taurine	128.0 / 80.0	13396	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 314)	A. [13C-glc] G9 0min cit	G9	0min	Citrate C1-C6 M+0	191.0 / 191.0	77734807.98	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 314)	A. [13C-glc] G9 0min cit	G9	0min	Citrate 191/111	191.0 / 111.0	53039705.44	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 314)	A. [13C-glc] G9 0min cit	G9	0min	Citrate 192/111	192.0 / 111.0	700063.05	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 314)	A. [13C-glc] G9 0min cit	G9	0min	Citrate 192/112	192.0 / 112.0	3006601.123	TRUE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 314)	A. [13C-glc] G9 0min cit	G9	0min	Citrate 193/112	193.0 / 112.0	88949.90229	TRUE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 314)	A. [13C-glc] G9 0min cit	G9	0min	Citrate 193/113	193.0 / 113.0	406530.5	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 314)	A. [13C-glc] G9 0min cit	G9	0min	Citrate 194/113	194.0 / 113.0	5200.8	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 314)	A. [13C-glc] G9 0min cit	G9	0min	Citrate 194/114	194.0 / 114.0	16963.51319	TRUE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 314)	A. [13C-glc] G9 0min cit	G9	0min	Citrate 195/114	195.0 / 114.0	N/A	TRUE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 314)	A. [13C-glc] G9 0min cit	G9	0min	Citrate 195/115	195.0 / 115.0	N/A	TRUE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 314)	A. [13C-glc] G9 0min cit	G9	0min	Citrate 196/115	196.0 / 115.0	N/A	TRUE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 314)	A. [13C-glc] G9 0min cit	G9	0min	Citrate 196/116	196.0 / 116.0	N/A	TRUE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 314)	A. [13C-glc] G9 0min cit	G9	0min	Citrate 197/116	197.0 / 116.0	N/A	TRUE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 314)	A. [13C-glc] G9 0min cit	G9	0min	Citrate 191/67	191.0 / 67.0	3534450.005	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 314)	A. [13C-glc] G9 0min cit	G9	0min	Citrate 192/67	192.0 / 67.0	85734.8	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 314)	A. [13C-glc] G9 0min cit	G9	0min	Citrate 192/68	192.0 / 68.0	157443.16	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 314)	A. [13C-glc] G9 0min cit	G9	0min	Citrate 193/67	193.0 / 67.0	44204.06487	TRUE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 314)	A. [13C-glc] G9 0min cit	G9	0min	Citrate 193/68	193.0 / 68.0	5048.840486	TRUE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 314)	A. [13C-glc] G9 0min cit	G9	0min	Citrate 193/69	193.0 / 69.0	8069.12	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 314)	A. [13C-glc] G9 0min cit	G9	0min	Citrate 194/68	194.0 / 68.0	2395.52	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 314)	A. [13C-glc] G9 0min cit	G9	0min	Citrate 194/69	194.0 / 69.0	N/A	TRUE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 314)	A. [13C-glc] G9 0min cit	G9	0min	Citrate 194/70	194.0 / 70.0	N/A	TRUE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 314)	A. [13C-glc] G9 0min cit	G9	0min	Citrate 195/69	195.0 / 69.0	N/A	TRUE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 314)	A. [13C-glc] G9 0min cit	G9	0min	Citrate 195/70	195.0 / 70.0	693.44	FALSE
