,col_name,Label,Sample Name,formula,name
0,16424.1246934,C13_92.0_92.0,T. [13C-glc] G7 30min,C3H5O3,Lactate 92/92
1,15620.8311334,C13_92.0_92.0,T. [13C-glc] G7 30min,C3H5O3,Lactate 92/92
2,11738.2591934,C13_92.0_92.0,T. [13C-glc] G7 30min,C3H5O3,Lactate 92/92
3,15602.0655534,C13_92.0_92.0,T. [13C-glc] G7 30min,C3H5O3,Lactate 92/92
4,17627.6530534,C13_92.0_92.0,T. [13C-glc] G7 30min,C3H5O3,Lactate 92/92
5,17769.9280534,C13_92.0_92.0,T. [13C-glc] G7 30min,C3H5O3,Lactate 92/92
6,0.0530533547351,C13_92.0_92.0,Q. [13C-glc] G7 0min,C3H5O3,Lactate 92/92
7,0.0530533547351,C13_92.0_92.0,Q. [13C-glc] G7 0min,C3H5O3,Lactate 92/92
8,0.0530533547351,C13_92.0_92.0,Q. [13C-glc] G7 0min,C3H5O3,Lactate 92/92
9,0.0530533547351,C13_92.0_92.0,Q. [13C-glc] G7 0min,C3H5O3,Lactate 92/92
10,0.0530533547351,C13_92.0_92.0,Q. [13C-glc] G7 0min,C3H5O3,Lactate 92/92
11,0.0530533547351,C13_92.0_92.0,Q. [13C-glc] G7 0min,C3H5O3,Lactate 92/92
0,14.4690967459,C13_91.0_91.0,T. [13C-glc] G7 30min,C3H5O3,Lactate 91/91
1,922.031596746,C13_91.0_91.0,T. [13C-glc] G7 30min,C3H5O3,Lactate 91/91
2,14.4690967459,C13_91.0_91.0,T. [13C-glc] G7 30min,C3H5O3,Lactate 91/91
3,14.4690967459,C13_91.0_91.0,T. [13C-glc] G7 30min,C3H5O3,Lactate 91/91
4,14.4690967459,C13_91.0_91.0,T. [13C-glc] G7 30min,C3H5O3,Lactate 91/91
5,14.4690967459,C13_91.0_91.0,T. [13C-glc] G7 30min,C3H5O3,Lactate 91/91
6,14.4690967459,C13_91.0_91.0,Q. [13C-glc] G7 0min,C3H5O3,Lactate 91/91
7,14.4690967459,C13_91.0_91.0,Q. [13C-glc] G7 0min,C3H5O3,Lactate 91/91
8,14.4690967459,C13_91.0_91.0,Q. [13C-glc] G7 0min,C3H5O3,Lactate 91/91
9,14.4690967459,C13_91.0_91.0,Q. [13C-glc] G7 0min,C3H5O3,Lactate 91/91
10,14.4690967459,C13_91.0_91.0,Q. [13C-glc] G7 0min,C3H5O3,Lactate 91/91
11,14.4690967459,C13_91.0_91.0,Q. [13C-glc] G7 0min,C3H5O3,Lactate 91/91
0,1114.25685474,C13_90.0_90.0,T. [13C-glc] G7 30min,C3H5O3,Lactate 90/90
1,658.72112574,C13_90.0_90.0,T. [13C-glc] G7 30min,C3H5O3,Lactate 90/90
2,0.0,C13_90.0_90.0,T. [13C-glc] G7 30min,C3H5O3,Lactate 90/90
3,910.78280774,C13_90.0_90.0,T. [13C-glc] G7 30min,C3H5O3,Lactate 90/90
4,0.0,C13_90.0_90.0,T. [13C-glc] G7 30min,C3H5O3,Lactate 90/90
5,643.21858774,C13_90.0_90.0,T. [13C-glc] G7 30min,C3H5O3,Lactate 90/90
6,1008.20431974,C13_90.0_90.0,Q. [13C-glc] G7 0min,C3H5O3,Lactate 90/90
