,Label,Sample Name,Frac Enrichment,name,formula
0,C13_191.0_67.0,U. [13C-glc] G7 60min,0.8753,Citrate 191/67,C4H3O
1,C13_191.0_67.0,U. [13C-glc] G7 60min,0.8798,Citrate 191/67,C4H3O
2,C13_191.0_67.0,U. [13C-glc] G7 60min,0.8875,Citrate 191/67,C4H3O
3,C13_191.0_67.0,U. [13C-glc] G7 60min,0.8916,Citrate 191/67,C4H3O
4,C13_191.0_67.0,U. [13C-glc] G7 60min,0.8748,Citrate 191/67,C4H3O
5,C13_191.0_67.0,U. [13C-glc] G7 60min,0.8897,Citrate 191/67,C4H3O
6,C13_191.0_67.0,R. [13C-glc] G7 5min,0.9765,Citrate 191/67,C4H3O
7,C13_191.0_67.0,R. [13C-glc] G7 5min,0.9828,Citrate 191/67,C4H3O
8,C13_191.0_67.0,R. [13C-glc] G7 5min,0.9832,Citrate 191/67,C4H3O
9,C13_191.0_67.0,R. [13C-glc] G7 5min,0.9811,Citrate 191/67,C4H3O
10,C13_191.0_67.0,R. [13C-glc] G7 5min,0.9813,Citrate 191/67,C4H3O
11,C13_191.0_67.0,R. [13C-glc] G7 5min,0.9863,Citrate 191/67,C4H3O
12,C13_191.0_67.0,S. [13C-glc] G7 15min,0.9326,Citrate 191/67,C4H3O
13,C13_191.0_67.0,S. [13C-glc] G7 15min,0.929,Citrate 191/67,C4H3O
14,C13_191.0_67.0,S. [13C-glc] G7 15min,0.9231,Citrate 191/67,C4H3O
15,C13_191.0_67.0,S. [13C-glc] G7 15min,0.9304,Citrate 191/67,C4H3O
16,C13_191.0_67.0,S. [13C-glc] G7 15min,0.9261,Citrate 191/67,C4H3O
17,C13_191.0_67.0,S. [13C-glc] G7 15min,0.9317,Citrate 191/67,C4H3O
18,C13_191.0_67.0,V. [13C-glc] G7 120min,0.8052,Citrate 191/67,C4H3O
19,C13_191.0_67.0,V. [13C-glc] G7 120min,0.8205,Citrate 191/67,C4H3O
20,C13_191.0_67.0,V. [13C-glc] G7 120min,0.8274,Citrate 191/67,C4H3O
21,C13_191.0_67.0,V. [13C-glc] G7 120min,0.8212,Citrate 191/67,C4H3O
22,C13_191.0_67.0,V. [13C-glc] G7 120min,0.8254,Citrate 191/67,C4H3O
23,C13_191.0_67.0,V. [13C-glc] G7 120min,0.8142,Citrate 191/67,C4H3O
24,C13_191.0_67.0,T. [13C-glc] G7 30min,0.9005,Citrate 191/67,C4H3O
25,C13_191.0_67.0,T. [13C-glc] G7 30min,0.9076,Citrate 191/67,C4H3O
26,C13_191.0_67.0,T. [13C-glc] G7 30min,0.8993,Citrate 191/67,C4H3O
27,C13_191.0_67.0,T. [13C-glc] G7 30min,0.8956,Citrate 191/67,C4H3O
28,C13_191.0_67.0,T. [13C-glc] G7 30min,0.8935,Citrate 191/67,C4H3O
29,C13_191.0_67.0,T. [13C-glc] G7 30min,0.8934,Citrate 191/67,C4H3O
30,C13_191.0_67.0,Q. [13C-glc] G7 0min,1.0,Citrate 191/67,C4H3O
31,C13_191.0_67.0,Q. [13C-glc] G7 0min,1.0,Citrate 191/67,C4H3O
32,C13_191.0_67.0,Q. [13C-glc] G7 0min,1.0,Citrate 191/67,C4H3O
33,C13_191.0_67.0,Q. [13C-glc] G7 0min,1.0,Citrate 191/67,C4H3O
34,C13_191.0_67.0,Q. [13C-glc] G7 0min,1.0,Citrate 191/67,C4H3O
35,C13_191.0_67.0,Q. [13C-glc] G7 0min,1.0,Citrate 191/67,C4H3O
36,C13_191.0_67.0,"X. [6,6-DD-glc] G7 240min",1.0,Citrate 191/67,C4H3O
37,C13_191.0_67.0,"X. [6,6-DD-glc] G7 240min",1.0,Citrate 191/67,C4H3O
38,C13_191.0_67.0,"X. [6,6-DD-glc] G7 240min",0.9998,Citrate 191/67,C4H3O
39,C13_191.0_67.0,"X. [6,6-DD-glc] G7 240min",1.0,Citrate 191/67,C4H3O
40,C13_191.0_67.0,"X. [6,6-DD-glc] G7 240min",1.0,Citrate 191/67,C4H3O
41,C13_191.0_67.0,"X. [6,6-DD-glc] G7 240min",0.9995,Citrate 191/67,C4H3O
42,C13_191.0_67.0,W. [13C-glc] G7 240min,0.767,Citrate 191/67,C4H3O
43,C13_191.0_67.0,W. [13C-glc] G7 240min,0.7706,Citrate 191/67,C4H3O
44,C13_191.0_67.0,W. [13C-glc] G7 240min,0.7581,Citrate 191/67,C4H3O
45,C13_191.0_67.0,W. [13C-glc] G7 240min,0.7847,Citrate 191/67,C4H3O
46,C13_191.0_67.0,W. [13C-glc] G7 240min,0.7793,Citrate 191/67,C4H3O
47,C13_191.0_67.0,W. [13C-glc] G7 240min,0.794,Citrate 191/67,C4H3O
0,C13_197.0_71.0,U. [13C-glc] G7 60min,0.0311,Citrate 197/71,C4H3O
1,C13_197.0_71.0,U. [13C-glc] G7 60min,0.0252,Citrate 197/71,C4H3O
2,C13_197.0_71.0,U. [13C-glc] G7 60min,0.0234,Citrate 197/71,C4H3O
3,C13_197.0_71.0,U. [13C-glc] G7 60min,0.0268,Citrate 197/71,C4H3O
4,C13_197.0_71.0,U. [13C-glc] G7 60min,0.0304,Citrate 197/71,C4H3O
5,C13_197.0_71.0,U. [13C-glc] G7 60min,0.0288,Citrate 197/71,C4H3O
6,C13_197.0_71.0,R. [13C-glc] G7 5min,0.0004,Citrate 197/71,C4H3O
7,C13_197.0_71.0,R. [13C-glc] G7 5min,0.0,Citrate 197/71,C4H3O
8,C13_197.0_71.0,R. [13C-glc] G7 5min,0.0,Citrate 197/71,C4H3O
9,C13_197.0_71.0,R. [13C-glc] G7 5min,0.0,Citrate 197/71,C4H3O
10,C13_197.0_71.0,R. [13C-glc] G7 5min,0.0,Citrate 197/71,C4H3O
11,C13_197.0_71.0,R. [13C-glc] G7 5min,0.0,Citrate 197/71,C4H3O
12,C13_197.0_71.0,S. [13C-glc] G7 15min,0.0054,Citrate 197/71,C4H3O
13,C13_197.0_71.0,S. [13C-glc] G7 15min,0.0012,Citrate 197/71,C4H3O
14,C13_197.0_71.0,S. [13C-glc] G7 15min,0.0031,Citrate 197/71,C4H3O
15,C13_197.0_71.0,S. [13C-glc] G7 15min,0.0045,Citrate 197/71,C4H3O
16,C13_197.0_71.0,S. [13C-glc] G7 15min,0.0038,Citrate 197/71,C4H3O
17,C13_197.0_71.0,S. [13C-glc] G7 15min,0.0041,Citrate 197/71,C4H3O
18,C13_197.0_71.0,V. [13C-glc] G7 120min,0.0586,Citrate 197/71,C4H3O
19,C13_197.0_71.0,V. [13C-glc] G7 120min,0.0496,Citrate 197/71,C4H3O
20,C13_197.0_71.0,V. [13C-glc] G7 120min,0.0542,Citrate 197/71,C4H3O
21,C13_197.0_71.0,V. [13C-glc] G7 120min,0.0562,Citrate 197/71,C4H3O
22,C13_197.0_71.0,V. [13C-glc] G7 120min,0.0471,Citrate 197/71,C4H3O
23,C13_197.0_71.0,V. [13C-glc] G7 120min,0.0562,Citrate 197/71,C4H3O
24,C13_197.0_71.0,T. [13C-glc] G7 30min,0.015,Citrate 197/71,C4H3O
25,C13_197.0_71.0,T. [13C-glc] G7 30min,0.0127,Citrate 197/71,C4H3O
26,C13_197.0_71.0,T. [13C-glc] G7 30min,0.0119,Citrate 197/71,C4H3O
27,C13_197.0_71.0,T. [13C-glc] G7 30min,0.0133,Citrate 197/71,C4H3O
28,C13_197.0_71.0,T. [13C-glc] G7 30min,0.021,Citrate 197/71,C4H3O
29,C13_197.0_71.0,T. [13C-glc] G7 30min,0.0181,Citrate 197/71,C4H3O
30,C13_197.0_71.0,Q. [13C-glc] G7 0min,0.0,Citrate 197/71,C4H3O
31,C13_197.0_71.0,Q. [13C-glc] G7 0min,0.0,Citrate 197/71,C4H3O
32,C13_197.0_71.0,Q. [13C-glc] G7 0min,0.0,Citrate 197/71,C4H3O
33,C13_197.0_71.0,Q. [13C-glc] G7 0min,0.0,Citrate 197/71,C4H3O
34,C13_197.0_71.0,Q. [13C-glc] G7 0min,0.0,Citrate 197/71,C4H3O
35,C13_197.0_71.0,Q. [13C-glc] G7 0min,0.0,Citrate 197/71,C4H3O
36,C13_197.0_71.0,"X. [6,6-DD-glc] G7 240min",0.0,Citrate 197/71,C4H3O
37,C13_197.0_71.0,"X. [6,6-DD-glc] G7 240min",0.0,Citrate 197/71,C4H3O
38,C13_197.0_71.0,"X. [6,6-DD-glc] G7 240min",0.0,Citrate 197/71,C4H3O
39,C13_197.0_71.0,"X. [6,6-DD-glc] G7 240min",0.0,Citrate 197/71,C4H3O
40,C13_197.0_71.0,"X. [6,6-DD-glc] G7 240min",0.0,Citrate 197/71,C4H3O
41,C13_197.0_71.0,"X. [6,6-DD-glc] G7 240min",0.0,Citrate 197/71,C4H3O
42,C13_197.0_71.0,W. [13C-glc] G7 240min,0.0689,Citrate 197/71,C4H3O
43,C13_197.0_71.0,W. [13C-glc] G7 240min,0.0699,Citrate 197/71,C4H3O
44,C13_197.0_71.0,W. [13C-glc] G7 240min,0.0746,Citrate 197/71,C4H3O
45,C13_197.0_71.0,W. [13C-glc] G7 240min,0.0714,Citrate 197/71,C4H3O
