Original Filename	Sample Name	Component Name	Mass Info	Area	Modified
TA_SCS-ATP BCH_19May16_1June16.wiff (sample 119)	A. SCS-ATP G9 13C-Gln 0min	Citrate 191/67	191.0 / 67.0	164640.276	False
TA_SCS-ATP BCH_19May16_1June16.wiff (sample 119)	A. SCS-ATP G9 13C-Gln 0min	Citrate 192/67	192.0 / 67.0	5659.2	False
TA_SCS-ATP BCH_19May16_1June16.wiff (sample 119)	A. SCS-ATP G9 13C-Gln 0min	Citrate 192/68	192.0 / 68.0	7231.2	False
TA_SCS-ATP BCH_19May16_1June16.wiff (sample 119)	A. SCS-ATP G9 13C-Gln 0min	Citrate 193/67	193.0 / 67.0	2409.876	False
TA_SCS-ATP BCH_19May16_1June16.wiff (sample 119)	A. SCS-ATP G9 13C-Gln 0min	Citrate 193/68	193.0 / 68.0	105.324	True
TA_SCS-ATP BCH_19May16_1June16.wiff (sample 119)	A. SCS-ATP G9 13C-Gln 0min	Citrate 193/69	193.0 / 69.0	314.4	False
TA_SCS-ATP BCH_19May16_1June16.wiff (sample 119)	A. SCS-ATP G9 13C-Gln 0min	Citrate 194/68	194.0 / 68.0	N/A	False
TA_SCS-ATP BCH_19May16_1June16.wiff (sample 119)	A. SCS-ATP G9 13C-Gln 0min	Citrate 194/69	194.0 / 69.0	N/A	False
TA_SCS-ATP BCH_19May16_1June16.wiff (sample 119)	A. SCS-ATP G9 13C-Gln 0min	Citrate 194/70	194.0 / 70.0	N/A	False
TA_SCS-ATP BCH_19May16_1June16.wiff (sample 119)	A. SCS-ATP G9 13C-Gln 0min	Citrate 195/69	195.0 / 69.0	N/A	False
TA_SCS-ATP BCH_19May16_1June16.wiff (sample 119)	A. SCS-ATP G9 13C-Gln 0min	Citrate 195/70	195.0 / 70.0	N/A	False
TA_SCS-ATP BCH_19May16_1June16.wiff (sample 119)	A. SCS-ATP G9 13C-Gln 0min	Citrate 195/71	195.0 / 71.0	N/A	False
TA_SCS-ATP BCH_19May16_1June16.wiff (sample 119)	A. SCS-ATP G9 13C-Gln 0min	Citrate 196/70	196.0 / 70.0	N/A	False
TA_SCS-ATP BCH_19May16_1June16.wiff (sample 119)	A. SCS-ATP G9 13C-Gln 0min	Citrate 196/71	196.0 / 71.0	N/A	False
TA_SCS-ATP BCH_19May16_1June16.wiff (sample 119)	A. SCS-ATP G9 13C-Gln 0min	Citrate 197/71	197.0 / 71.0	N/A	False
TA_SCS-ATP BCH_19May16_1June16.wiff (sample 119)	A. SCS-ATP G9 13C-Gln 0min	Citrate 191/111	191.0 / 111.0	2731236.816	False
TA_SCS-ATP BCH_19May16_1June16.wiff (sample 119)	A. SCS-ATP G9 13C-Gln 0min	Citrate 192/111	192.0 / 111.0	35527.2	False
TA_SCS-ATP BCH_19May16_1June16.wiff (sample 119)	A. SCS-ATP G9 13C-Gln 0min	Citrate 192/112	192.0 / 112.0	154370.4	False
TA_SCS-ATP BCH_19May16_1June16.wiff (sample 119)	A. SCS-ATP G9 13C-Gln 0min	Citrate 193/112	193.0 / 112.0	314.4	True
TA_SCS-ATP BCH_19May16_1June16.wiff (sample 119)	A. SCS-ATP G9 13C-Gln 0min	Citrate 193/113	193.0 / 113.0	23894.4	False
TA_SCS-ATP BCH_19May16_1June16.wiff (sample 119)	A. SCS-ATP G9 13C-Gln 0min	Citrate 194/113	194.0 / 113.0	N/A	False
TA_SCS-ATP BCH_19May16_1June16.wiff (sample 119)	A. SCS-ATP G9 13C-Gln 0min	Citrate 194/114	194.0 / 114.0	2829.6	False
