,Label,Sample Name,Background correction,name,formula
0,C13_133.0_115.0,A. [13C-glc] G9 0min,361000.0,Malate 133/115,C4H3O4
1,C13_133.0_115.0,A. [13C-glc] G9 0min,537200.0,Malate 133/115,C4H3O4
2,C13_133.0_115.0,A. [13C-glc] G9 0min,583900.0,Malate 133/115,C4H3O4
3,C13_133.0_115.0,A. [13C-glc] G9 0min,552100.0,Malate 133/115,C4H3O4
4,C13_133.0_115.0,A. [13C-glc] G9 0min,482000.0,Malate 133/115,C4H3O4
5,C13_133.0_115.0,A. [13C-glc] G9 0min,431300.0,Malate 133/115,C4H3O4
6,C13_133.0_115.0,B. [13C-glc] G9 5min,392200.0,Malate 133/115,C4H3O4
7,C13_133.0_115.0,B. [13C-glc] G9 5min,503500.0,Malate 133/115,C4H3O4
8,C13_133.0_115.0,B. [13C-glc] G9 5min,484900.0,Malate 133/115,C4H3O4
9,C13_133.0_115.0,B. [13C-glc] G9 5min,362800.0,Malate 133/115,C4H3O4
10,C13_133.0_115.0,B. [13C-glc] G9 5min,417000.0,Malate 133/115,C4H3O4
11,C13_133.0_115.0,B. [13C-glc] G9 5min,376800.0,Malate 133/115,C4H3O4
12,C13_133.0_115.0,C. [13C-glc] G9 15min,403100.0,Malate 133/115,C4H3O4
13,C13_133.0_115.0,C. [13C-glc] G9 15min,529000.0,Malate 133/115,C4H3O4
14,C13_133.0_115.0,C. [13C-glc] G9 15min,463700.0,Malate 133/115,C4H3O4
15,C13_133.0_115.0,C. [13C-glc] G9 15min,371600.0,Malate 133/115,C4H3O4
16,C13_133.0_115.0,C. [13C-glc] G9 15min,438000.0,Malate 133/115,C4H3O4
17,C13_133.0_115.0,C. [13C-glc] G9 15min,434300.0,Malate 133/115,C4H3O4
18,C13_133.0_115.0,D. [13C-glc] G9 30min,336200.0,Malate 133/115,C4H3O4
19,C13_133.0_115.0,D. [13C-glc] G9 30min,412500.0,Malate 133/115,C4H3O4
20,C13_133.0_115.0,D. [13C-glc] G9 30min,452600.0,Malate 133/115,C4H3O4
21,C13_133.0_115.0,D. [13C-glc] G9 30min,386500.0,Malate 133/115,C4H3O4
22,C13_133.0_115.0,D. [13C-glc] G9 30min,395600.0,Malate 133/115,C4H3O4
23,C13_133.0_115.0,D. [13C-glc] G9 30min,473800.0,Malate 133/115,C4H3O4
24,C13_133.0_115.0,E. [13C-glc] G9 60min,313200.0,Malate 133/115,C4H3O4
25,C13_133.0_115.0,E. [13C-glc] G9 60min,348900.0,Malate 133/115,C4H3O4
26,C13_133.0_115.0,E. [13C-glc] G9 60min,406600.0,Malate 133/115,C4H3O4
27,C13_133.0_115.0,E. [13C-glc] G9 60min,297800.0,Malate 133/115,C4H3O4
28,C13_133.0_115.0,E. [13C-glc] G9 60min,363600.0,Malate 133/115,C4H3O4
29,C13_133.0_115.0,E. [13C-glc] G9 60min,298700.0,Malate 133/115,C4H3O4
30,C13_133.0_115.0,F. [13C-glc] G9 120min,289200.0,Malate 133/115,C4H3O4
31,C13_133.0_115.0,F. [13C-glc] G9 120min,282500.0,Malate 133/115,C4H3O4
32,C13_133.0_115.0,F. [13C-glc] G9 120min,273800.0,Malate 133/115,C4H3O4
33,C13_133.0_115.0,F. [13C-glc] G9 120min,294000.0,Malate 133/115,C4H3O4
34,C13_133.0_115.0,F. [13C-glc] G9 120min,251100.0,Malate 133/115,C4H3O4
35,C13_133.0_115.0,F. [13C-glc] G9 120min,189400.0,Malate 133/115,C4H3O4
36,C13_133.0_115.0,G. [13C-glc] G9 240min,252500.0,Malate 133/115,C4H3O4
37,C13_133.0_115.0,G. [13C-glc] G9 240min,383500.0,Malate 133/115,C4H3O4
38,C13_133.0_115.0,G. [13C-glc] G9 240min,337200.0,Malate 133/115,C4H3O4
39,C13_133.0_115.0,G. [13C-glc] G9 240min,392600.0,Malate 133/115,C4H3O4
40,C13_133.0_115.0,G. [13C-glc] G9 240min,218900.0,Malate 133/115,C4H3O4
41,C13_133.0_115.0,G. [13C-glc] G9 240min,245200.0,Malate 133/115,C4H3O4
42,C13_133.0_115.0,"H. [6,6-DD-glc] G9 240min",468400.0,Malate 133/115,C4H3O4
43,C13_133.0_115.0,"H. [6,6-DD-glc] G9 240min",521500.0,Malate 133/115,C4H3O4
44,C13_133.0_115.0,"H. [6,6-DD-glc] G9 240min",569700.0,Malate 133/115,C4H3O4
45,C13_133.0_115.0,"H. [6,6-DD-glc] G9 240min",598300.0,Malate 133/115,C4H3O4
46,C13_133.0_115.0,"H. [6,6-DD-glc] G9 240min",507700.0,Malate 133/115,C4H3O4
47,C13_133.0_115.0,"H. [6,6-DD-glc] G9 240min",397100.0,Malate 133/115,C4H3O4
48,C13_134.0_116.0,A. [13C-glc] G9 0min,13106.8,Malate 133/115,C4H3O4
49,C13_134.0_116.0,A. [13C-glc] G9 0min,23636.8,Malate 133/115,C4H3O4
50,C13_134.0_116.0,A. [13C-glc] G9 0min,16446.8,Malate 133/115,C4H3O4
51,C13_134.0_116.0,A. [13C-glc] G9 0min,17606.8,Malate 133/115,C4H3O4
52,C13_134.0_116.0,A. [13C-glc] G9 0min,12916.8,Malate 133/115,C4H3O4
53,C13_134.0_116.0,A. [13C-glc] G9 0min,12206.8,Malate 133/115,C4H3O4
54,C13_134.0_116.0,B. [13C-glc] G9 5min,17216.8,Malate 133/115,C4H3O4
55,C13_134.0_116.0,B. [13C-glc] G9 5min,23126.8,Malate 133/115,C4H3O4
56,C13_134.0_116.0,B. [13C-glc] G9 5min,22996.8,Malate 133/115,C4H3O4
57,C13_134.0_116.0,B. [13C-glc] G9 5min,16706.8,Malate 133/115,C4H3O4
58,C13_134.0_116.0,B. [13C-glc] G9 5min,12346.8,Malate 133/115,C4H3O4
59,C13_134.0_116.0,B. [13C-glc] G9 5min,6816.8,Malate 133/115,C4H3O4
60,C13_134.0_116.0,C. [13C-glc] G9 15min,11446.8,Malate 133/115,C4H3O4
61,C13_134.0_116.0,C. [13C-glc] G9 15min,14136.8,Malate 133/115,C4H3O4
62,C13_134.0_116.0,C. [13C-glc] G9 15min,21976.8,Malate 133/115,C4H3O4
63,C13_134.0_116.0,C. [13C-glc] G9 15min,13826.8,Malate 133/115,C4H3O4
64,C13_134.0_116.0,C. [13C-glc] G9 15min,11056.8,Malate 133/115,C4H3O4
65,C13_134.0_116.0,C. [13C-glc] G9 15min,17476.8,Malate 133/115,C4H3O4
66,C13_134.0_116.0,D. [13C-glc] G9 30min,18886.8,Malate 133/115,C4H3O4
67,C13_134.0_116.0,D. [13C-glc] G9 30min,30706.8,Malate 133/115,C4H3O4
68,C13_134.0_116.0,D. [13C-glc] G9 30min,28896.8,Malate 133/115,C4H3O4
69,C13_134.0_116.0,D. [13C-glc] G9 30min,23636.8,Malate 133/115,C4H3O4
70,C13_134.0_116.0,D. [13C-glc] G9 30min,20296.8,Malate 133/115,C4H3O4
71,C13_134.0_116.0,D. [13C-glc] G9 30min,23636.8,Malate 133/115,C4H3O4
72,C13_134.0_116.0,E. [13C-glc] G9 60min,29546.8,Malate 133/115,C4H3O4
73,C13_134.0_116.0,E. [13C-glc] G9 60min,41356.8,Malate 133/115,C4H3O4
74,C13_134.0_116.0,E. [13C-glc] G9 60min,46616.8,Malate 133/115,C4H3O4
75,C13_134.0_116.0,E. [13C-glc] G9 60min,29806.8,Malate 133/115,C4H3O4
76,C13_134.0_116.0,E. [13C-glc] G9 60min,32116.8,Malate 133/115,C4H3O4
77,C13_134.0_116.0,E. [13C-glc] G9 60min,31086.8,Malate 133/115,C4H3O4
78,C13_134.0_116.0,F. [13C-glc] G9 120min,40836.8,Malate 133/115,C4H3O4
79,C13_134.0_116.0,F. [13C-glc] G9 120min,35316.8,Malate 133/115,C4H3O4
80,C13_134.0_116.0,F. [13C-glc] G9 120min,30436.8,Malate 133/115,C4H3O4
81,C13_134.0_116.0,F. [13C-glc] G9 120min,29156.8,Malate 133/115,C4H3O4
82,C13_134.0_116.0,F. [13C-glc] G9 120min,19656.8,Malate 133/115,C4H3O4
83,C13_134.0_116.0,F. [13C-glc] G9 120min,22736.8,Malate 133/115,C4H3O4
84,C13_134.0_116.0,G. [13C-glc] G9 240min,42886.8,Malate 133/115,C4H3O4
85,C13_134.0_116.0,G. [13C-glc] G9 240min,57076.8,Malate 133/115,C4H3O4
86,C13_134.0_116.0,G. [13C-glc] G9 240min,44046.8,Malate 133/115,C4H3O4
87,C13_134.0_116.0,G. [13C-glc] G9 240min,46106.8,Malate 133/115,C4H3O4
88,C13_134.0_116.0,G. [13C-glc] G9 240min,23636.8,Malate 133/115,C4H3O4
89,C13_134.0_116.0,G. [13C-glc] G9 240min,33266.8,Malate 133/115,C4H3O4
90,C13_134.0_116.0,"H. [6,6-DD-glc] G9 240min",55476.8,Malate 133/115,C4H3O4
91,C13_134.0_116.0,"H. [6,6-DD-glc] G9 240min",44306.8,Malate 133/115,C4H3O4
92,C13_134.0_116.0,"H. [6,6-DD-glc] G9 240min",58036.8,Malate 133/115,C4H3O4
93,C13_134.0_116.0,"H. [6,6-DD-glc] G9 240min",48666.8,Malate 133/115,C4H3O4
94,C13_134.0_116.0,"H. [6,6-DD-glc] G9 240min",46746.8,Malate 133/115,C4H3O4
95,C13_134.0_116.0,"H. [6,6-DD-glc] G9 240min",37116.8,Malate 133/115,C4H3O4
96,C13_135.0_117.0,A. [13C-glc] G9 0min,0.0,Malate 133/115,C4H3O4
97,C13_135.0_117.0,A. [13C-glc] G9 0min,146.8246,Malate 133/115,C4H3O4
98,C13_135.0_117.0,A. [13C-glc] G9 0min,0.0,Malate 133/115,C4H3O4
99,C13_135.0_117.0,A. [13C-glc] G9 0min,400.8246,Malate 133/115,C4H3O4
100,C13_135.0_117.0,A. [13C-glc] G9 0min,0.0,Malate 133/115,C4H3O4
101,C13_135.0_117.0,A. [13C-glc] G9 0min,0.0,Malate 133/115,C4H3O4
102,C13_135.0_117.0,B. [13C-glc] G9 5min,2969.8246,Malate 133/115,C4H3O4
103,C13_135.0_117.0,B. [13C-glc] G9 5min,9772.8246,Malate 133/115,C4H3O4
104,C13_135.0_117.0,B. [13C-glc] G9 5min,11442.8246,Malate 133/115,C4H3O4
105,C13_135.0_117.0,B. [13C-glc] G9 5min,1941.8246,Malate 133/115,C4H3O4
106,C13_135.0_117.0,B. [13C-glc] G9 5min,654.8246,Malate 133/115,C4H3O4
107,C13_135.0_117.0,B. [13C-glc] G9 5min,1429.8246,Malate 133/115,C4H3O4
108,C13_135.0_117.0,C. [13C-glc] G9 15min,29672.8246,Malate 133/115,C4H3O4
109,C13_135.0_117.0,C. [13C-glc] G9 15min,35062.8246,Malate 133/115,C4H3O4
110,C13_135.0_117.0,C. [13C-glc] G9 15min,44942.8246,Malate 133/115,C4H3O4
111,C13_135.0_117.0,C. [13C-glc] G9 15min,31322.8246,Malate 133/115,C4H3O4
112,C13_135.0_117.0,C. [13C-glc] G9 15min,20302.8246,Malate 133/115,C4H3O4
113,C13_135.0_117.0,C. [13C-glc] G9 15min,26722.8246,Malate 133/115,C4H3O4
114,C13_135.0_117.0,D. [13C-glc] G9 30min,102112.8246,Malate 133/115,C4H3O4
115,C13_135.0_117.0,D. [13C-glc] G9 30min,126512.8246,Malate 133/115,C4H3O4
116,C13_135.0_117.0,D. [13C-glc] G9 30min,140512.8246,Malate 133/115,C4H3O4
117,C13_135.0_117.0,D. [13C-glc] G9 30min,122112.8246,Malate 133/115,C4H3O4
118,C13_135.0_117.0,D. [13C-glc] G9 30min,115312.8246,Malate 133/115,C4H3O4
119,C13_135.0_117.0,D. [13C-glc] G9 30min,110812.8246,Malate 133/115,C4H3O4
120,C13_135.0_117.0,E. [13C-glc] G9 60min,138912.8246,Malate 133/115,C4H3O4
121,C13_135.0_117.0,E. [13C-glc] G9 60min,168912.8246,Malate 133/115,C4H3O4
122,C13_135.0_117.0,E. [13C-glc] G9 60min,191312.8246,Malate 133/115,C4H3O4
123,C13_135.0_117.0,E. [13C-glc] G9 60min,129512.8246,Malate 133/115,C4H3O4
124,C13_135.0_117.0,E. [13C-glc] G9 60min,120912.8246,Malate 133/115,C4H3O4
125,C13_135.0_117.0,E. [13C-glc] G9 60min,115412.8246,Malate 133/115,C4H3O4
126,C13_135.0_117.0,F. [13C-glc] G9 120min,145112.8246,Malate 133/115,C4H3O4
127,C13_135.0_117.0,F. [13C-glc] G9 120min,148512.8246,Malate 133/115,C4H3O4
128,C13_135.0_117.0,F. [13C-glc] G9 120min,150512.8246,Malate 133/115,C4H3O4
129,C13_135.0_117.0,F. [13C-glc] G9 120min,124112.8246,Malate 133/115,C4H3O4
130,C13_135.0_117.0,F. [13C-glc] G9 120min,100412.8246,Malate 133/115,C4H3O4
131,C13_135.0_117.0,F. [13C-glc] G9 120min,74722.8246,Malate 133/115,C4H3O4
