,Intensity,Name,Glucose Concentration,Modified,Original Filename,Sample Name,Time,Formula,Parent,Parent_Formula,Label
6864,360993.5005,Malate 133/115,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 140),A. [13C-glc] G9 0min,0min,C4H3O4,Malate 133/115,C4H5O5,C13_133.0_115.0
6865,392186.5165,Malate 133/115,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 141),B. [13C-glc] G9 5min,5min,C4H3O4,Malate 133/115,C4H5O5,C13_133.0_115.0
6866,403093.6505,Malate 133/115,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 142),C. [13C-glc] G9 15min,15min,C4H3O4,Malate 133/115,C4H5O5,C13_133.0_115.0
6867,336214.192,Malate 133/115,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 143),D. [13C-glc] G9 30min,30min,C4H3O4,Malate 133/115,C4H5O5,C13_133.0_115.0
6868,313231.183,Malate 133/115,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 144),E. [13C-glc] G9 60min,60min,C4H3O4,Malate 133/115,C4H5O5,C13_133.0_115.0
6869,289228.041,Malate 133/115,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 145),F. [13C-glc] G9 120min,120min,C4H3O4,Malate 133/115,C4H5O5,C13_133.0_115.0
6870,252503.3815,Malate 133/115,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 146),G. [13C-glc] G9 240min,240min,C4H3O4,Malate 133/115,C4H5O5,C13_133.0_115.0
6871,468435.3675,Malate 133/115,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 147),"H. [6,6-DD-glc] G9 240min",240min,C4H3O4,Malate 133/115,C4H5O5,C13_133.0_115.0
6872,537174.628,Malate 133/115,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 148),A. [13C-glc] G9 0min,0min,C4H3O4,Malate 133/115,C4H5O5,C13_133.0_115.0
6873,503494.8085,Malate 133/115,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 149),B. [13C-glc] G9 5min,5min,C4H3O4,Malate 133/115,C4H5O5,C13_133.0_115.0
6874,528958.953,Malate 133/115,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 150),C. [13C-glc] G9 15min,15min,C4H3O4,Malate 133/115,C4H5O5,C13_133.0_115.0
6875,412461.808,Malate 133/115,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 151),D. [13C-glc] G9 30min,30min,C4H3O4,Malate 133/115,C4H5O5,C13_133.0_115.0
