,Label,Sample Name,Background correction,name,formula
0,C13_133.0_115.0,E. [13C-glc] G9 60min,313231.0,Malate 133/115,C4H3O4
1,C13_133.0_115.0,E. [13C-glc] G9 60min,348925.0,Malate 133/115,C4H3O4
2,C13_133.0_115.0,E. [13C-glc] G9 60min,406557.0,Malate 133/115,C4H3O4
3,C13_133.0_115.0,E. [13C-glc] G9 60min,297829.0,Malate 133/115,C4H3O4
4,C13_133.0_115.0,E. [13C-glc] G9 60min,363571.0,Malate 133/115,C4H3O4
5,C13_133.0_115.0,E. [13C-glc] G9 60min,298730.0,Malate 133/115,C4H3O4
6,C13_133.0_115.0,"H. [6,6-DD-glc] G9 240min",468435.0,Malate 133/115,C4H3O4
7,C13_133.0_115.0,"H. [6,6-DD-glc] G9 240min",521453.0,Malate 133/115,C4H3O4
8,C13_133.0_115.0,"H. [6,6-DD-glc] G9 240min",569726.0,Malate 133/115,C4H3O4
9,C13_133.0_115.0,"H. [6,6-DD-glc] G9 240min",598339.0,Malate 133/115,C4H3O4
10,C13_133.0_115.0,"H. [6,6-DD-glc] G9 240min",507722.0,Malate 133/115,C4H3O4
11,C13_133.0_115.0,"H. [6,6-DD-glc] G9 240min",397063.0,Malate 133/115,C4H3O4
12,C13_133.0_115.0,G. [13C-glc] G9 240min,252503.0,Malate 133/115,C4H3O4
13,C13_133.0_115.0,G. [13C-glc] G9 240min,383455.0,Malate 133/115,C4H3O4
14,C13_133.0_115.0,G. [13C-glc] G9 240min,337236.0,Malate 133/115,C4H3O4
15,C13_133.0_115.0,G. [13C-glc] G9 240min,392567.0,Malate 133/115,C4H3O4
16,C13_133.0_115.0,G. [13C-glc] G9 240min,218943.0,Malate 133/115,C4H3O4
17,C13_133.0_115.0,G. [13C-glc] G9 240min,245187.0,Malate 133/115,C4H3O4
18,C13_133.0_115.0,A. [13C-glc] G9 0min,360994.0,Malate 133/115,C4H3O4
19,C13_133.0_115.0,A. [13C-glc] G9 0min,537175.0,Malate 133/115,C4H3O4
