Original Filename	Sample Name	Component Name	Mass Info	Area	Modified
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 108)	A. std 1mm glu 100uM PEP	taurine	124.0 / 80.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 108)	A. std 1mm glu 100uM PEP	D4-taurine	128.0 / 80.0	39667.2255	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 108)	A. std 1mm glu 100uM PEP	PEP 167/79	167.0 / 79.0	453923.507	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 108)	A. std 1mm glu 100uM PEP	PEP 168/79	168.0 / 79.0	12968.976	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 108)	A. std 1mm glu 100uM PEP	PEP 169/79	169.0 / 79.0	3079.241	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 108)	A. std 1mm glu 100uM PEP	PEP 170/79	170.0 / 79.0	249.383398666088	True
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 108)	A. std 1mm glu 100uM PEP	Aspartate 132/88	132.0 / 88.0	38770.417	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 108)	A. std 1mm glu 100uM PEP	Aspartate 133/88	133.0 / 88.0	1796.825	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 108)	A. std 1mm glu 100uM PEP	Aspartate 133/89	133.0 / 89.0	5816.72313214653	True
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 108)	A. std 1mm glu 100uM PEP	Aspartate 134/90	134.0 / 90.0	253.904081061998	True
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 108)	A. std 1mm glu 100uM PEP	Aspartate 134/89	134.0 / 89.0	N/A	True
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 108)	A. std 1mm glu 100uM PEP	Aspartate 135/91	135.0 / 91.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 108)	A. std 1mm glu 100uM PEP	Aspartate 135/90	135.0 / 90.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 108)	A. std 1mm glu 100uM PEP	Aspartate 136/91	136.0 / 91.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 108)	A. std 1mm glu 100uM PEP	3PG 185/79	185.0 / 79.0	770.199999999999	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 108)	A. std 1mm glu 100uM PEP	3PG 186/79	186.0 / 79.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 108)	A. std 1mm glu 100uM PEP	3PG 187/79	187.0 / 79.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 108)	A. std 1mm glu 100uM PEP	3PG 188/79	188.0 / 79.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 108)	A. std 1mm glu 100uM PEP	2PG 185/79	185.0 / 79.0	899.308500000001	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 108)	A. std 1mm glu 100uM PEP	2PG 186/79	186.0 / 79.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 108)	A. std 1mm glu 100uM PEP	2PG 187/79	187.0 / 79.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 108)	A. std 1mm glu 100uM PEP	2PG 188/79	188.0 / 79.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 108)	A. std 1mm glu 100uM PEP	Malate 133/115	133.0 / 115.0	911578.3665	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 108)	A. std 1mm glu 100uM PEP	Malate 134/116	134.0 / 116.0	64702.3255	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 108)	A. std 1mm glu 100uM PEP	Malate 135/117	135.0 / 117.0	13350.125	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 108)	A. std 1mm glu 100uM PEP	Malate 136/118	136.0 / 118.0	250.556616279071	True
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 108)	A. std 1mm glu 100uM PEP	Malate 137/119	137.0 / 119.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 108)	A. std 1mm glu 100uM PEP	Glutamate 146/102	146.0 / 102.0	764610.142000001	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 108)	A. std 1mm glu 100uM PEP	Glutamate 147/102	147.0 / 102.0	14890.9915	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 108)	A. std 1mm glu 100uM PEP	Glutamate 147/103	147.0 / 103.0	85624.9495000001	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 108)	A. std 1mm glu 100uM PEP	Glutamate 148/104	148.0 / 104.0	10140.7165	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 108)	A. std 1mm glu 100uM PEP	Glutamate 148/103	148.0 / 103.0	1157.3255	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 108)	A. std 1mm glu 100uM PEP	Glutamate 149/105	149.0 / 105.0	770.333500000001	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 108)	A. std 1mm glu 100uM PEP	Glutamate 149/104	149.0 / 104.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 108)	A. std 1mm glu 100uM PEP	Glutamate 150/106	150.0 / 106.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 108)	A. std 1mm glu 100uM PEP	Glutamate 150/105	150.0 / 105.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 108)	A. std 1mm glu 100uM PEP	Glutamate 151/106	151.0 / 106.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 108)	A. std 1mm glu 100uM PEP	Glutamate 146/41	146.0 / 41.0	29011.2165	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 108)	A. std 1mm glu 100uM PEP	Glutamate 147/41	147.0 / 41.0	1015.85915690923	True
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 108)	A. std 1mm glu 100uM PEP	Glutamate 147/42	147.0 / 42.0	385.1335	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 108)	A. std 1mm glu 100uM PEP	Glutamate 148/41	148.0 / 41.0	897.3495	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 108)	A. std 1mm glu 100uM PEP	Glutamate 148/42	148.0 / 42.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 108)	A. std 1mm glu 100uM PEP	Glutamate 148/43	148.0 / 43.0	123.874882065264	True
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 108)	A. std 1mm glu 100uM PEP	Glutamate 149/41	149.0 / 41.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 108)	A. std 1mm glu 100uM PEP	Glutamate 149/42	149.0 / 42.0	124.892236499957	True
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 108)	A. std 1mm glu 100uM PEP	Glutamate 149/43	149.0 / 43.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 108)	A. std 1mm glu 100uM PEP	Glutamate 150/42	150.0 / 42.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 108)	A. std 1mm glu 100uM PEP	Glutamate 150/43	150.0 / 43.0	375.738814249806	True
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 108)	A. std 1mm glu 100uM PEP	Glutamate 151/43	151.0 / 43.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 108)	A. std 1mm glu 100uM PEP	Glutamate 146/128	146.0 / 128.0	1696815.792	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 108)	A. std 1mm glu 100uM PEP	Glutamate 147/129	147.0 / 129.0	108859.225	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 108)	A. std 1mm glu 100uM PEP	Glutamate 148/130	148.0 / 130.0	14122.0505	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 108)	A. std 1mm glu 100uM PEP	Glutamate 149/131	149.0 / 131.0	N/A	True
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 108)	A. std 1mm glu 100uM PEP	Glutamate 150/132	150.0 / 132.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 108)	A. std 1mm glu 100uM PEP	Glutamate 151/133	151.0 / 133.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 109)	B. std 500uM glu 50uM PEP	taurine	124.0 / 80.0	N/A	True
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 109)	B. std 500uM glu 50uM PEP	D4-taurine	128.0 / 80.0	41721.734	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 109)	B. std 500uM glu 50uM PEP	PEP 167/79	167.0 / 79.0	237171.587	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 109)	B. std 500uM glu 50uM PEP	PEP 168/79	168.0 / 79.0	7702.4665	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 109)	B. std 500uM glu 50uM PEP	PEP 169/79	169.0 / 79.0	1153.541	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 109)	B. std 500uM glu 50uM PEP	PEP 170/79	170.0 / 79.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 109)	B. std 500uM glu 50uM PEP	Aspartate 132/88	132.0 / 88.0	23361.666	False
