,Intensity,Name,Modified,Original Filename,Sample Name,Some garbage,Formula,Parent,Parent_Formula,Label
32,7698357.072,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 426)",A. [13C-glc] G2.5 0min,0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
33,8068400.496,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 427)",B. [13C-glc] G2.5 5min,0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
34,8479112.496,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 428)",C. [13C-glc] G2.5 15min,0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
35,5234392.9,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 429)",D. [13C-glc] G2.5 30min,0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
36,5250939.25,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 430)",E. [13C-glc] G2.5 60min,0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
37,4671600.55,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 431)",F. [13C-glc] G2.5 120min,0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
38,5995683.9,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 432)",G. [13C-glc] G2.5 240min,0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
39,9446846.918,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 433)","H. [6,6-DD-glc] G2.5 240min",0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
40,14954988.074,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 434)",I. [13C-glc] G5 0min,0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
41,11973119.252,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 435)",J. [13C-glc] G5 5min,0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
42,8628982.296,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 436)",K. [13C-glc] G5 15min,0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
43,5053623.25,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 437)",L. [13C-glc] G5 30min,0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
44,4469557.65,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 438)",M. [13C-glc] G5 60min,0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
45,3570442.65,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 439)",N. [13C-glc] G5 120min,0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
46,3833831.33415,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 440)",O. [13C-glc] G5 240min,0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
