Original Filename	Sample Name	Component Name	Mass Info	Area	Modified
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 3)	A. std 1mm glu 100uM PEP	taurine	124.0 / 80.0	2226178.04911158	True
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 3)	A. std 1mm glu 100uM PEP	D4-taurine	128.0 / 80.0	899.3085	False
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 3)	A. std 1mm glu 100uM PEP	PEP 167/79	167.0 / 79.0	590938.634410866	True
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 3)	A. std 1mm glu 100uM PEP	PEP 168/79	168.0 / 79.0	24135.617	False
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 3)	A. std 1mm glu 100uM PEP	PEP 169/79	169.0 / 79.0	2824.85856982682	True
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 3)	A. std 1mm glu 100uM PEP	PEP 170/79	170.0 / 79.0	N/A	True
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 3)	A. std 1mm glu 100uM PEP	Aspartate 132/88	132.0 / 88.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 3)	A. std 1mm glu 100uM PEP	Aspartate 133/88	133.0 / 88.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 3)	A. std 1mm glu 100uM PEP	Aspartate 133/89	133.0 / 89.0	258.0505	False
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 3)	A. std 1mm glu 100uM PEP	Aspartate 134/90	134.0 / 90.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 3)	A. std 1mm glu 100uM PEP	Aspartate 134/89	134.0 / 89.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 3)	A. std 1mm glu 100uM PEP	Aspartate 135/91	135.0 / 91.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 3)	A. std 1mm glu 100uM PEP	Aspartate 135/90	135.0 / 90.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 3)	A. std 1mm glu 100uM PEP	Aspartate 136/91	136.0 / 91.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 3)	A. std 1mm glu 100uM PEP	3PG 185/79	185.0 / 79.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 3)	A. std 1mm glu 100uM PEP	3PG 186/79	186.0 / 79.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 3)	A. std 1mm glu 100uM PEP	3PG 187/79	187.0 / 79.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 3)	A. std 1mm glu 100uM PEP	3PG 188/79	188.0 / 79.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 3)	A. std 1mm glu 100uM PEP	2PG 185/79	185.0 / 79.0	N/A	False
