Original Filename	Sample Name	Component Name	Mass Info	Area
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 217)	A. std 1mm glu 100uM PEP (pyr)	taurine	124.0 / 80.0	75.0625
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 217)	A. std 1mm glu 100uM PEP (pyr)	D4-taurine	128.0 / 80.0	75.0000000000001
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 217)	A. std 1mm glu 100uM PEP (pyr)	Pyruvate 87/87	87.0 / 87.0	1288478.70783711
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 217)	A. std 1mm glu 100uM PEP (pyr)	Pyruvate 88/88	88.0 / 88.0	53203.7958716377
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 217)	A. std 1mm glu 100uM PEP (pyr)	Pyruvate 89/89	89.0 / 89.0	N/A
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 217)	A. std 1mm glu 100uM PEP (pyr)	Pyruvate 90/90	90.0 / 90.0	N/A
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 217)	A. std 1mm glu 100uM PEP (pyr)	Lactate 89/89	89.0 / 89.0	749012.2375
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 217)	A. std 1mm glu 100uM PEP (pyr)	Lactate 90/90	90.0 / 90.0	47249.825
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 217)	A. std 1mm glu 100uM PEP (pyr)	Lactate 91/91	91.0 / 91.0	10396.9375
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 217)	A. std 1mm glu 100uM PEP (pyr)	Lactate 92/92	92.0 / 92.0	N/A
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 218)	B. std 500uM glu 50uM PEP	taurine	124.0 / 80.0	90.0249999999996
