,Name,Formula,Label,Sample Name,Intensity,info1,info2,Parent,tups
0,L-Methionine,C5H10NO2S,C12 PARENT,sample_1,3669565.0,cellline_1,culture_1,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
1,L-Methionine,C5H10NO2S,C13-label-1,sample_1,155707.0,cellline_1,culture_1,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
2,L-Methionine,C5H10NO2S,C13-label-2,sample_1,0.0,cellline_1,culture_1,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
3,L-Methionine,C5H10NO2S,C13-label-3,sample_1,0.0,cellline_1,culture_1,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
4,L-Methionine,C5H10NO2S,C13-label-4,sample_1,0.0,cellline_1,culture_1,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
5,L-Methionine,C5H10NO2S,N15-label-1,sample_1,3099.053,cellline_1,culture_1,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
6,L-Methionine,C5H10NO2S,C13N15-label-1-1,sample_1,0.0,cellline_1,culture_1,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
7,L-Methionine,C5H10NO2S,C13N15-label-2-1,sample_1,3240.703,cellline_1,culture_1,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
8,L-Methionine,C5H10NO2S,C13N15-label-4-1,sample_1,48546.84,cellline_1,culture_1,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
9,L-Methionine,C5H10NO2S,C13N15-label-5-1,sample_1,0.0,cellline_1,culture_1,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
10,L-Methionine,C5H10NO2S,C12 PARENT,sample_2,3354688.0,cellline_2,culture_2,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
11,L-Methionine,C5H10NO2S,C13-label-1,sample_2,170952.4,cellline_2,culture_2,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
12,L-Methionine,C5H10NO2S,C13-label-2,sample_2,1993.996,cellline_2,culture_2,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
13,L-Methionine,C5H10NO2S,C13-label-3,sample_2,0.0,cellline_2,culture_2,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
14,L-Methionine,C5H10NO2S,C13-label-4,sample_2,0.0,cellline_2,culture_2,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
15,L-Methionine,C5H10NO2S,N15-label-1,sample_2,4803.446,cellline_2,culture_2,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
